"ward_clusters"	"complete_clusters"
"OTU1318"	NA	NA
"OTU1319"	166	130
"OTU1320"	NA	NA
"OTU1321"	NA	NA
"OTU1322"	190	NA
"OTU1323"	126	147
"OTU1324"	39	188
"OTU1325"	90	115
"OTU1326"	131	166
"OTU1327"	117	191
"OTU1328"	NA	NA
"OTU1331"	NA	NA
"OTU1334"	58	44
"OTU1335"	153	140
"OTU1336"	NA	NA
"OTU1338"	NA	NA
"OTU1339"	NA	NA
"OTU1340"	NA	NA
"OTU1341"	185	192
"OTU1343"	NA	NA
"OTU1347"	103	125
"OTU1349"	139	132
"OTU1355"	88	175
"OTU1358"	NA	NA
"OTU1363"	178	182
"OTU1364"	85	NA
"OTU1366"	NA	NA
"OTU1370"	NA	NA
"OTU1373"	180	NA
"OTU1375"	100	123
"OTU1377"	111	142
"OTU1380"	NA	NA
"OTU1381"	NA	111
"OTU1383"	NA	NA
"OTU1385"	NA	NA
"OTU1386"	NA	NA
"OTU1388"	NA	NA
"OTU1389"	NA	NA
"OTU1391"	NA	NA
"OTU1393"	90	115
"OTU1395"	NA	NA
"OTU1396"	161	NA
"OTU1399"	124	126
"OTU1400"	23	28
"OTU1401"	NA	NA
"OTU1402"	NA	169
"OTU1404"	166	130
"OTU1407"	NA	NA
"OTU1411"	43	NA
"OTU1414"	179	NA
"OTU1415"	145	162
"OTU1418"	NA	NA
"OTU1419"	NA	NA
"OTU1421"	NA	149
"OTU1425"	186	NA
"OTU1426"	174	NA
"OTU1427"	77	82
"OTU1429"	16	18
"OTU1430"	96	120
"OTU1431"	NA	175
"OTU1432"	NA	NA
"OTU1434"	NA	NA
"OTU1435"	142	168
"OTU1437"	NA	NA
"OTU1438"	128	185
"OTU1441"	NA	NA
"OTU1443"	NA	NA
"OTU1444"	NA	NA
"OTU1446"	NA	NA
"OTU1448"	NA	NA
"OTU1451"	58	NA
"OTU1453"	NA	NA
"OTU1459"	NA	NA
"OTU1460"	NA	NA
"OTU1461"	NA	NA
"OTU1464"	NA	NA
"OTU1465"	NA	NA
"OTU1468"	127	145
"OTU1469"	31	40
"OTU1470"	NA	190
"OTU1471"	163	173
"OTU1472"	NA	NA
"OTU1475"	NA	NA
"OTU1477"	127	145
"OTU1482"	NA	NA
"OTU1485"	174	NA
"OTU1490"	NA	NA
"OTU1495"	NA	174
"OTU1497"	130	150
"OTU1498"	NA	88
"OTU1502"	186	NA
"OTU1503"	NA	122
"OTU1504"	174	NA
"OTU1505"	NA	NA
"OTU1506"	183	183
"OTU1508"	184	NA
"OTU1510"	180	160
"OTU1511"	NA	88
"OTU1513"	164	92
"OTU1515"	NA	NA
"OTU1519"	63	70
"OTU1520"	NA	174
"OTU1526"	NA	NA
"OTU1527"	177	151
"OTU1528"	NA	NA
"OTU1531"	NA	NA
"OTU1534"	124	126
"OTU1537"	NA	NA
"OTU1538"	NA	NA
"OTU1542"	NA	190
"OTU1547"	NA	NA
"OTU1551"	NA	NA
"OTU1553"	NA	NA
"OTU1560"	NA	188
"OTU1568"	NA	143
"OTU1571"	NA	NA
"OTU1572"	NA	122
"OTU1577"	166	NA
"OTU1579"	NA	164
"OTU1582"	77	82
"OTU1583"	NA	NA
"OTU1586"	NA	NA
"OTU1589"	180	160
"OTU1595"	NA	NA
"OTU1597"	141	165
"OTU1599"	NA	NA
"OTU1601"	NA	NA
"OTU1605"	NA	NA
"OTU1608"	NA	179
"OTU1613"	144	NA
"OTU1615"	8	88
"OTU1619"	NA	NA
"OTU1622"	155	NA
"OTU1623"	111	142
"OTU1625"	105	185
"OTU1626"	128	185
"OTU1629"	165	177
"OTU1638"	145	162
"OTU1641"	NA	NA
"OTU1643"	NA	NA
"OTU1644"	NA	NA
"OTU1651"	139	132
"OTU1655"	146	32
"OTU1656"	NA	NA
"OTU1661"	NA	NA
"OTU1664"	176	NA
"OTU1667"	NA	NA
"OTU1673"	NA	NA
"OTU1677"	131	NA
"OTU1679"	166	NA
"OTU1680"	NA	NA
"OTU1686"	142	168
"OTU1688"	NA	NA
"OTU1698"	74	NA
"OTU1699"	167	102
"OTU1701"	74	NA
"OTU1704"	180	139
"OTU1708"	NA	NA
"OTU1712"	189	95
"OTU1715"	NA	NA
"OTU1716"	NA	NA
"OTU1723"	58	44
"OTU1724"	184	NA
"OTU1725"	175	NA
"OTU1728"	178	182
"OTU1730"	168	127
"OTU1731"	NA	143
"OTU1740"	40	47
"OTU1746"	80	105
"OTU1747"	NA	NA
"OTU1749"	NA	NA
