#                                                                           running time (s)                 
#                                                                    -------------------------------          
#  idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ----  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
   234  OTU1286      250      524      773  5'&3'    238.75   1.000       0.05       0.02       0.07      5.64
   235  OTU1288      250      524      773  5'&3'    223.75   1.000       0.05       0.02       0.08      5.71
   236  OTU1289      250      524      773  5'&3'    230.32   1.000       0.05       0.02       0.08      5.70
   237  OTU129       250      524      773  5'&3'    224.19   1.000       0.05       0.02       0.07      5.69
   238  OTU1290      250      524      773  5'&3'    232.39   1.000       0.05       0.02       0.08      5.69
   239  OTU1291      250      524      773  5'&3'    220.21   1.000       0.05       0.02       0.08      5.71
   240  OTU12911     250      524      773  5'&3'    233.34   1.000       0.05       0.02       0.08      5.74
   241  OTU1293      250      524      773  5'&3'    228.33   0.999       0.05       0.02       0.08      5.73
   242  OTU1294      250      524      773  5'&3'    237.79   1.000       0.05       0.02       0.07      5.68
   243  OTU1296      250      524      773  5'&3'    233.40   1.000       0.05       0.02       0.07      5.65
   244  OTU1297      250      524      773  5'&3'    225.11   1.000       0.05       0.02       0.07      5.66
   245  OTU1298      250      524      773  5'&3'    236.18   1.000       0.05       0.02       0.07      5.68
   246  OTU13        250      524      773  5'&3'    229.20   1.000       0.05       0.02       0.08      5.71
   247  OTU130       250      524      773  5'&3'    218.51   1.000       0.05       0.03       0.08      5.77
   248  OTU1300      250      524      773  5'&3'    216.86   1.000       0.05       0.03       0.08      5.81
   249  OTU1301      250      524      773  5'&3'    225.85   0.999       0.05       0.03       0.08      5.79
   250  OTU1302      250      524      773  5'&3'    237.19   1.000       0.05       0.02       0.08      5.68
   251  OTU1306      250      524      773  5'&3'    230.47   1.000       0.05       0.02       0.08      5.67
   252  OTU1307      250      524      773  5'&3'    223.48   1.000       0.05       0.02       0.08      5.68
   253  OTU1308      250      524      773  5'&3'    221.49   1.000       0.05       0.02       0.08      5.80
   254  OTU1309      250      524      773  5'&3'    227.66   1.000       0.05       0.02       0.07      5.64
   255  OTU1310      250      524      773  5'&3'    214.13   1.000       0.05       0.03       0.08      5.80
   256  OTU1311      251      524      773  5'&3'    228.74   0.998       0.06       0.02       0.08      5.80
   257  OTU1312      250      524      773  5'&3'    224.92   0.999       0.05       0.02       0.08      5.73
   258  OTU1314      250      524      773  5'&3'    231.82   1.000       0.05       0.02       0.08      5.66
   259  OTU1315      250      524      773  5'&3'    221.36   1.000       0.05       0.02       0.08      5.69
   260  OTU1316      250      524      773  5'&3'    225.95   1.000       0.05       0.02       0.08      5.76
   261  OTU1318      250      524      773  5'&3'    224.78   1.000       0.05       0.02       0.08      5.77
   262  OTU1319      250      524      773  5'&3'    232.72   1.000       0.05       0.02       0.07      5.66
   263  OTU132       250      524      773  5'&3'    235.68   1.000       0.05       0.02       0.07      5.63
